strategy,qps,runs,actual_qps_mean,p50_mean_ms,p50_std_ms,p90_mean_ms,p90_std_ms,p99_mean_ms,p99_std_ms
baseline,10,3,9.986466666666667,3.5687493333333333,2.4362758164381417,4.358286666666666,2.0577204193313854,4.93514,1.2489544880418983
baseline,30,3,29.954666666666668,3.508635333333333,2.369911856366252,5.8361133333333335,1.4075028389787825,6.012753333333333,1.3328051826629923
baseline,60,3,59.97366666666667,1.004374,0.43032348847233515,4.918846666666667,0.9403450649805808,8.168709999999999,5.748684083535987
hybrid,10,3,9.9961,5.1000000000000005,1.9000000000000004,7.157896666666667,1.6503962535201468,8.321686666666666,2.905446384040383
hybrid,30,3,29.986666666666668,3.1342603333333336,2.607129649887081,7.212993333333333,0.7050662948498767,8.518903333333334,1.705683055562591
hybrid,60,3,59.961999999999996,1.0645836666666666,0.3206918108095892,5.0,0.8660254037844386,7.8270566666666666,2.2428607214522556
proactive,10,3,9.995966666666666,2.6934193333333334,2.2900114880762787,5.333333333333333,2.8867513459481287,6.877416666666666,2.3856079722438333
proactive,30,3,29.987666666666666,2.375123,2.454242151422104,3.162266666666666,2.013104918610387,4.840743333333333,2.1832142882074885
proactive,60,3,59.976333333333336,0.8424659999999999,0.025105390038794355,5.25,0.6614378277661477,8.712873333333333,2.925437793994829
reactive,10,3,9.945833333333333,8.222223333333334,11.067134210337983,13.333333333333334,10.214368964029708,27.606613333333332,30.052907148136825
reactive,30,3,29.850666666666665,3.785973,4.122211199124446,16.907366666666665,8.461924811964078,21.335933333333333,9.405866270755359
reactive,60,3,59.66766666666666,1.018462,0.2728768656812079,4.78751,2.4208502639155522,10.168253333333334,3.8139591167883986
