strategy,qps,p99_mean_ms,p99_std_ms,rank_p99
baseline,10,4.93514,1.2489544880418983,1
proactive,10,6.877416666666666,2.3856079722438333,2
hybrid,10,8.321686666666666,2.905446384040383,3
reactive,10,27.60661333333333,30.052907148136825,4
proactive,30,4.840743333333333,2.1832142882074885,1
baseline,30,6.012753333333333,1.3328051826629923,2
hybrid,30,8.518903333333334,1.705683055562591,3
reactive,30,21.335933333333333,9.40586627075536,4
hybrid,60,7.827056666666666,2.242860721452256,1
baseline,60,8.168709999999999,5.748684083535987,2
proactive,60,8.712873333333333,2.925437793994829,3
reactive,60,10.168253333333334,3.813959116788399,4
